setup.py:148 	 2016-10-03 23:05:57,375 __main__     INFO     Watch path is: I:\Dropbox\DedosMedia\keshot\monitor\watch and exists: True
setup.py:189 	 2016-10-03 23:05:57,530 __main__     INFO     Container created: {u'Id': u'1bee2e0cedae57384e30050d3a69de35c954bacc2e1fea7646873ef8236e5638', u'Warnings': None}
setup.py:193 	 2016-10-03 23:05:57,943 __main__     INFO     Container started correctly. Monitoring: I:\Dropbox\DedosMedia\keshot\monitor\watch\input.jpg
monitor.py:170 	 2016-10-04 04:05:32,226 __main__     INFO     Monitor: Logging successfully initialized
monitor.py:46 	 2016-10-04 04:05:32,228 __main__     INFO     /app/watch/input.jpg
setup.py:373 	 2016-10-03 23:06:00,374 __main__     INFO     Cleaning up and exiting
setup.py:324 	 2016-10-03 23:10:53,690 __main__     INFO     ================================
setup.py:325 	 2016-10-03 23:10:53,694 __main__     INFO     Logging successfully initialized
setup.py:326 	 2016-10-03 23:10:53,697 __main__     INFO     ================================
setup.py:90 	 2016-10-03 23:10:53,711 __main__     INFO     dedosmedia-monitor containers in host: 1
setup.py:93 	 2016-10-03 23:10:53,717 __main__     INFO     Stopping or removing old container 1bee2e0cedae57384e30050d3a69de35c954bacc2e1fea7646873ef8236e5638
setup.py:99 	 2016-10-03 23:10:53,759 __main__     INFO     Building container...
setup.py:117 	 2016-10-03 23:11:13,053 __main__     INFO     Container built succesfully.
setup.py:144 	 2016-10-03 23:11:13,056 __main__     INFO     Config path is: I:\Dropbox\DedosMedia\keshot\monitor\config and exists: True
setup.py:148 	 2016-10-03 23:11:13,062 __main__     INFO     Watch path is: I:\Dropbox\DedosMedia\keshot\monitor\watch and exists: True
setup.py:189 	 2016-10-03 23:11:13,207 __main__     INFO     Container created: {u'Id': u'5ac17965978c7d5a92d74f23d6af7441dbc9430feafa2f13ad2b600007de676c', u'Warnings': None}
setup.py:193 	 2016-10-03 23:11:13,572 __main__     INFO     Container started correctly. Monitoring: I:\Dropbox\DedosMedia\keshot\monitor\watch\input.jpg
setup.py:373 	 2016-10-03 23:12:04,242 __main__     INFO     Cleaning up and exiting
setup.py:324 	 2016-10-03 23:12:08,841 __main__     INFO     ================================
setup.py:325 	 2016-10-03 23:12:08,845 __main__     INFO     Logging successfully initialized
setup.py:326 	 2016-10-03 23:12:08,848 __main__     INFO     ================================
setup.py:90 	 2016-10-03 23:12:08,892 __main__     INFO     dedosmedia-monitor containers in host: 0
setup.py:99 	 2016-10-03 23:12:08,895 __main__     INFO     Building container...
setup.py:117 	 2016-10-03 23:12:26,028 __main__     INFO     Container built succesfully.
setup.py:144 	 2016-10-03 23:12:26,036 __main__     INFO     Config path is: I:\Dropbox\DedosMedia\keshot\monitor\config and exists: True
setup.py:148 	 2016-10-03 23:12:26,049 __main__     INFO     Watch path is: I:\Dropbox\DedosMedia\keshot\monitor\watch and exists: True
setup.py:189 	 2016-10-03 23:12:26,210 __main__     INFO     Container created: {u'Id': u'be85d3e06900f2723a269794a23d82338e3f06013de3f7446e5334f42837ea58', u'Warnings': None}
setup.py:193 	 2016-10-03 23:12:26,582 __main__     INFO     Container started correctly. Monitoring: I:\Dropbox\DedosMedia\keshot\monitor\watch\input.jpg
monitor.py:170 	 2016-10-04 04:12:00,884 __main__     INFO     Monitor: Logging successfully initialized
monitor.py:46 	 2016-10-04 04:12:00,886 __main__     INFO     /app/watch/input.jpg
setup.py:373 	 2016-10-03 23:12:46,082 __main__     INFO     Cleaning up and exiting
setup.py:324 	 2016-10-03 23:41:20,286 __main__     INFO     ================================
